OH,OWB,ICB,OCB
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
13,4,256,26
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
160,32,64,3
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
120,32,32,26
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
4,8,32,32
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
160,40,64,13
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
4,10,256,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
13,13,64,64
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
384,128,8,16
