OH,OWB
160,40
160,40
160,40
160,40
160,40
160,40
160,40
120,32
120,32
120,32
120,32
28,8
28,8
28,8
28,8
32,8
32,8
32,8
32,8
20,4
20,4
20,4
20,4
80,16
80,16
80,16
80,16
40,10
40,10
40,10
40,10
4,5
4,5
4,5
4,5
13,3
13,3
13,3
13,3
16,8
16,8
16,8
16,8
8,4
8,4
8,4
8,4
28,6
28,6
28,6
28,6
56,16
56,16
56,16
56,16
4,2
4,2
4,2
4,2
20,4
20,4
20,4
20,4
12,4
12,4
12,4
12,4
6,3
6,3
6,3
6,3
20,4
20,4
20,4
20,4
104,21
104,21
104,21
104,21
13,13
13,13
13,13
13,13
120,32
120,32
120,32
120,32
80,16
80,16
80,16
80,16
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
160,32
160,32
160,32
160,32
56,20
56,20
56,20
56,20
45,13
45,13
45,13
45,13
96,160
96,160
96,160
96,160
24,20
24,20
24,20
24,20
56,16
56,16
56,16
56,16
64,32
64,32
64,32
64,32
13,8
13,8
13,8
13,8
20,10
20,10
20,10
20,10
32,8
32,8
32,8
32,8
56,12
56,12
56,12
56,12
480,128
480,128
480,128
480,128
14,3
14,3
14,3
14,3
20,4
20,4
20,4
20,4
480,160
480,160
480,160
480,160
32,16
32,16
32,16
32,16
80,16
80,16
80,16
80,16
224,45
224,45
224,45
224,45
12,4
12,4
12,4
12,4
20,4
20,4
20,4
20,4
480,128
480,128
480,128
480,128
12,8
12,8
12,8
12,8
12,3
12,3
12,3
12,3
4,8
4,8
4,8
4,8
13,3
13,3
13,3
13,3
320,80
320,80
320,80
320,80
160,32
160,32
160,32
160,32
32,7
32,7
32,7
32,7
112,45
112,45
112,45
112,45
12,6
12,6
12,6
12,6
128,32
128,32
128,32
128,32
16,8
16,8
16,8
16,8
16,6
16,6
16,6
16,6
32,20
32,20
32,20
32,20
160,32
160,32
160,32
160,32
17,12
17,12
17,12
17,12
96,32
96,32
96,32
96,32
18,5
18,5
18,5
18,5
320,80
320,80
320,80
320,80
9,2
9,2
9,2
9,2
112,32
112,32
112,32
112,32
20,4
20,4
20,4
20,4
13,8
13,8
13,8
13,8
20,5
20,5
20,5
20,5
40,8
40,8
40,8
40,8
120,32
120,32
120,32
120,32
104,21
104,21
104,21
104,21
40,8
40,8
40,8
40,8
40,10
40,10
40,10
40,10
80,20
80,20
80,20
80,20
32,8
32,8
32,8
32,8
23,8
23,8
23,8
23,8
104,21
104,21
104,21
104,21
20,4
20,4
20,4
20,4
13,3
13,3
13,3
13,3
120,32
120,32
120,32
120,32
10,2
10,2
10,2
10,2
120,32
120,32
120,32
120,32
58,13
58,13
58,13
58,13
32,8
32,8
32,8
32,8
13,3
13,3
13,3
13,3
40,8
40,8
40,8
40,8
144,40
144,40
144,40
144,40
20,4
20,4
20,4
20,4
20,4
20,4
20,4
20,4
4,7
4,7
4,7
4,7
160,40
160,40
160,40
160,40
4,4
4,4
4,4
4,4
32,8
32,8
32,8
32,8
10,2
10,2
10,2
10,2
10,8
10,8
10,8
10,8
8,8
8,8
8,8
8,8
120,32
120,32
120,32
120,32
24,16
24,16
24,16
24,16
11,7
11,7
11,7
11,7
12,12
12,12
12,12
12,12
80,32
80,32
80,32
80,32
32,8
32,8
32,8
32,8
167,84
167,84
167,84
167,84
64,13
64,13
64,13
64,13
20,4
20,4
20,4
20,4
4,5
4,5
4,5
4,5
104,21
104,21
104,21
104,21
6,7
6,7
6,7
6,7
13,3
13,3
13,3
13,3
32,8
32,8
32,8
32,8
160,32
160,32
160,32
160,32
6,6
6,6
6,6
6,6
56,12
56,12
56,12
56,12
7,3
7,3
7,3
7,3
104,21
104,21
104,21
104,21
80,20
80,20
80,20
80,20
9,6
9,6
9,6
9,6
144,40
144,40
144,40
144,40
12,5
12,5
12,5
12,5
26,6
26,6
26,6
26,6
16,7
16,7
16,7
16,7
13,6
13,6
13,6
13,6
4,8
4,8
4,8
4,8
40,8
40,8
40,8
40,8
160,32
160,32
160,32
160,32
32,7
32,7
32,7
32,7
157,45
157,45
157,45
157,45
80,16
80,16
80,16
80,16
26,7
26,7
26,7
26,7
8,6
8,6
8,6
8,6
120,32
120,32
120,32
120,32
120,32
120,32
120,32
120,32
13,3
13,3
13,3
13,3
40,10
40,10
40,10
40,10
80,16
80,16
80,16
80,16
20,4
20,4
20,4
20,4
2,2
2,2
2,2
2,2
120,32
120,32
120,32
120,32
40,8
40,8
40,8
40,8
23,45
23,45
23,45
23,45
24,32
24,32
24,32
24,32
56,16
56,16
56,16
56,16
128,26
128,26
128,26
128,26
90,45
90,45
90,45
90,45
6,3
6,3
6,3
6,3
32,8
32,8
32,8
32,8
20,4
20,4
20,4
20,4
52,13
52,13
52,13
52,13
24,16
24,16
24,16
24,16
64,16
64,16
64,16
64,16
80,16
80,16
80,16
80,16
40,8
40,8
40,8
40,8
20,4
20,4
20,4
20,4
6,3
6,3
6,3
6,3
16,7
16,7
16,7
16,7
64,16
64,16
64,16
64,16
4,4
4,4
4,4
4,4
14,3
14,3
14,3
14,3
36,32
36,32
36,32
36,32
16,20
16,20
16,20
16,20
20,5
20,5
20,5
20,5
21,6
21,6
21,6
21,6
10,2
10,2
10,2
10,2
240,160
240,160
240,160
240,160
48,32
48,32
48,32
48,32
64,16
64,16
64,16
64,16
96,32
96,32
96,32
96,32
6,3
6,3
6,3
6,3
18,4
18,4
18,4
18,4
52,13
52,13
52,13
52,13
96,32
96,32
96,32
96,32
160,32
160,32
160,32
160,32
11,26
11,26
11,26
11,26
112,32
112,32
112,32
112,32
120,32
120,32
120,32
120,32
108,32
108,32
108,32
108,32
23,8
23,8
23,8
23,8
256,52
256,52
256,52
256,52
40,10
40,10
40,10
40,10
56,23
56,23
56,23
56,23
160,40
160,40
160,40
160,40
64,13
64,13
64,13
64,13
14,3
14,3
14,3
14,3
8,10
8,10
8,10
8,10
112,23
112,23
112,23
112,23
52,13
52,13
52,13
52,13
29,8
29,8
29,8
29,8
120,32
120,32
120,32
120,32
80,16
80,16
80,16
80,16
144,32
144,32
144,32
144,32
80,20
80,20
80,20
80,20
32,13
32,13
32,13
32,13
208,84
208,84
208,84
208,84
32,8
32,8
32,8
32,8
32,16
32,16
32,16
32,16
45,45
45,45
45,45
45,45
39,13
39,13
39,13
39,13
13,3
13,3
13,3
13,3
7,7
7,7
7,7
7,7
32,8
32,8
32,8
32,8
20,4
20,4
20,4
20,4
416,84
416,84
416,84
416,84
10,7
10,7
10,7
10,7
6,5
6,5
6,5
6,5
8,8
8,8
8,8
8,8
40,8
40,8
40,8
40,8
10,8
10,8
10,8
10,8
32,40
32,40
32,40
32,40
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
26,13
26,13
26,13
26,13
32,8
32,8
32,8
32,8
13,7
13,7
13,7
13,7
80,16
80,16
80,16
80,16
144,40
144,40
144,40
144,40
10,3
10,3
10,3
10,3
112,40
112,40
112,40
112,40
14,4
14,4
14,4
14,4
160,40
160,40
160,40
160,40
160,32
160,32
160,32
160,32
8,3
8,3
8,3
8,3
80,16
80,16
80,16
80,16
32,8
32,8
32,8
32,8
32,7
32,7
32,7
32,7
4,8
4,8
4,8
4,8
18,4
18,4
18,4
18,4
80,16
80,16
80,16
80,16
56,12
56,12
56,12
56,12
20,5
20,5
20,5
20,5
40,8
40,8
40,8
40,8
120,32
120,32
120,32
120,32
3,3
3,3
3,3
3,3
104,21
104,21
104,21
104,21
14,3
14,3
14,3
14,3
26,6
26,6
26,6
26,6
28,6
28,6
28,6
28,6
26,6
26,6
26,6
26,6
64,13
64,13
64,13
64,13
12,4
12,4
12,4
12,4
202,45
202,45
202,45
202,45
24,8
24,8
24,8
24,8
160,40
160,40
160,40
160,40
26,7
26,7
26,7
26,7
14,3
14,3
14,3
14,3
72,20
72,20
72,20
72,20
52,11
52,11
52,11
52,11
32,26
32,26
32,26
32,26
14,3
14,3
14,3
14,3
13,7
13,7
13,7
13,7
56,20
56,20
56,20
56,20
16,8
16,8
16,8
16,8
14,4
14,4
14,4
14,4
48,16
48,16
48,16
48,16
64,13
64,13
64,13
64,13
40,8
40,8
40,8
40,8
13,4
13,4
13,4
13,4
40,10
40,10
40,10
40,10
20,4
20,4
20,4
20,4
13,8
13,8
13,8
13,8
48,16
48,16
48,16
